cohort_month,order_month,active_customers,cohort_age_months
2024-01,2024-01,200,0
2024-01,2024-02,59,1
2024-01,2024-03,70,2
2024-01,2024-04,68,3
2024-01,2024-05,66,4
2024-01,2024-06,68,5
2024-01,2024-07,65,6
2024-01,2024-08,73,7
2024-01,2024-09,76,8
2024-01,2024-10,75,9
2024-01,2024-11,64,10
2024-01,2024-12,60,11
2024-01,2025-01,86,12
2024-01,2025-02,72,13
2024-01,2025-03,78,14
2024-01,2025-04,59,15
2024-01,2025-05,70,16
2024-01,2025-06,70,17
2024-01,2025-07,75,18
2024-01,2025-08,59,19
2024-01,2025-09,69,20
2024-01,2025-10,57,21
2024-01,2025-11,73,22
2024-01,2025-12,67,23
2024-02,2024-02,99,0
2024-02,2024-03,37,1
2024-02,2024-04,32,2
2024-02,2024-05,42,3
2024-02,2024-06,36,4
2024-02,2024-07,32,5
2024-02,2024-08,30,6
2024-02,2024-09,29,7
2024-02,2024-10,29,8
2024-02,2024-11,32,9
2024-02,2024-12,39,10
2024-02,2025-01,33,11
2024-02,2025-02,28,12
2024-02,2025-03,28,13
2024-02,2025-04,41,14
2024-02,2025-05,35,15
2024-02,2025-06,33,16
2024-02,2025-07,34,17
2024-02,2025-08,31,18
2024-02,2025-09,24,19
2024-02,2025-10,21,20
2024-02,2025-11,30,21
2024-02,2025-12,32,22
2024-03,2024-03,63,0
2024-03,2024-04,24,1
2024-03,2024-05,23,2
2024-03,2024-06,16,3
2024-03,2024-07,23,4
2024-03,2024-08,20,5
2024-03,2024-09,12,6
2024-03,2024-10,18,7
2024-03,2024-11,15,8
2024-03,2024-12,19,9
2024-03,2025-01,15,10
2024-03,2025-02,16,11
2024-03,2025-03,19,12
2024-03,2025-04,20,13
2024-03,2025-05,19,14
2024-03,2025-06,15,15
2024-03,2025-07,13,16
2024-03,2025-08,21,17
2024-03,2025-09,22,18
2024-03,2025-10,21,19
2024-03,2025-11,15,20
2024-03,2025-12,17,21
2024-04,2024-04,52,0
2024-04,2024-05,13,1
2024-04,2024-06,9,2
2024-04,2024-07,12,3
2024-04,2024-08,13,4
2024-04,2024-09,15,5
2024-04,2024-10,16,6
2024-04,2024-11,16,7
2024-04,2024-12,13,8
2024-04,2025-01,13,9
2024-04,2025-02,12,10
2024-04,2025-03,12,11
2024-04,2025-04,12,12
2024-04,2025-05,15,13
2024-04,2025-06,11,14
2024-04,2025-07,16,15
2024-04,2025-08,17,16
2024-04,2025-09,13,17
2024-04,2025-10,12,18
2024-04,2025-11,15,19
2024-04,2025-12,4,20
2024-05,2024-05,36,0
2024-05,2024-06,7,1
2024-05,2024-07,8,2
2024-05,2024-08,9,3
2024-05,2024-09,5,4
2024-05,2024-10,8,5
2024-05,2024-11,7,6
2024-05,2024-12,7,7
2024-05,2025-01,9,8
2024-05,2025-02,6,9
2024-05,2025-03,7,10
2024-05,2025-04,7,11
2024-05,2025-05,8,12
2024-05,2025-06,6,13
2024-05,2025-07,7,14
2024-05,2025-08,8,15
2024-05,2025-09,8,16
2024-05,2025-10,9,17
2024-05,2025-11,7,18
2024-05,2025-12,11,19
2024-06,2024-06,33,0
2024-06,2024-07,6,1
2024-06,2024-08,9,2
2024-06,2024-09,9,3
2024-06,2024-10,5,4
2024-06,2024-11,7,5
2024-06,2024-12,8,6
2024-06,2025-01,7,7
2024-06,2025-02,5,8
2024-06,2025-03,12,9
2024-06,2025-04,6,10
2024-06,2025-05,12,11
2024-06,2025-06,7,12
2024-06,2025-07,12,13
2024-06,2025-08,6,14
2024-06,2025-09,7,15
2024-06,2025-10,9,16
2024-06,2025-11,9,17
2024-06,2025-12,11,18
2024-07,2024-07,25,0
2024-07,2024-08,7,1
2024-07,2024-09,8,2
2024-07,2024-10,8,3
2024-07,2024-11,8,4
2024-07,2024-12,6,5
2024-07,2025-01,2,6
2024-07,2025-02,7,7
2024-07,2025-03,5,8
2024-07,2025-04,7,9
2024-07,2025-05,8,10
2024-07,2025-06,6,11
2024-07,2025-07,4,12
2024-07,2025-08,5,13
2024-07,2025-09,9,14
2024-07,2025-10,4,15
2024-07,2025-11,3,16
2024-07,2025-12,8,17
2024-08,2024-08,10,0
2024-08,2024-09,1,1
2024-08,2024-10,1,2
2024-08,2024-11,3,3
2024-08,2024-12,1,4
2024-08,2025-01,1,5
2024-08,2025-02,2,6
2024-08,2025-03,1,7
2024-08,2025-04,1,8
2024-08,2025-05,3,9
2024-08,2025-06,4,10
2024-08,2025-07,2,11
2024-08,2025-08,1,12
2024-08,2025-10,1,14
2024-08,2025-11,2,15
2024-08,2025-12,3,16
2024-09,2024-09,13,0
2024-09,2024-10,2,1
2024-09,2024-11,2,2
2024-09,2024-12,1,3
2024-09,2025-01,1,4
2024-09,2025-02,1,5
2024-09,2025-03,1,6
2024-09,2025-04,2,7
