customer_id,last_purchase,frequency,monetary,total_profit,recency_days,signup_date,region,acquisition_channel,tenure_days,annual_purchase_frequency,avg_order_value,estimated_annual_value,estimated_clv,R_score,F_score,M_score,rfm_score,customer_segment
CUST00001,2024-10-09,3,862.47,438.36,448,2024-02-07,West,Social,693,1.58008658008658,287.49,454.2590909090909,649.59,5,4,5,545,Champions
CUST00002,2025-10-25,4,3362.58,1627.52,67,2024-11-21,West,Email,405,3.6049382716049383,840.645,3030.4733333333334,4333.58,3,4,2,342,Needs Attention
CUST00003,2025-09-09,2,2141.64,1066.84,113,2024-10-01,East,Email,456,1.6008771929824561,1070.82,1714.2513157894737,2451.38,4,5,3,453,Loyal Customers
CUST00004,2024-05-22,1,214.43,91.41,588,2024-07-03,West,Social,546,0.6684981684981685,214.43,143.34606227106227,204.98,5,5,5,555,Champions
CUST00005,2025-12-23,7,1877.1399999999999,874.45,8,2024-06-30,South,Organic Search,549,4.653916211293261,268.16285714285715,1248.0074681238616,1784.65,1,3,3,133,At Risk
CUST00006,2024-06-18,1,795.6,351.4,561,2024-12-26,West,Direct,370,0.9864864864864864,795.6,784.8486486486486,1122.33,5,5,5,555,Champions
CUST00007,2025-10-20,20,5927.67,2420.55,72,2024-02-06,North,Direct,694,10.518731988472622,296.3835,3117.5786023054757,4458.14,3,1,1,311,Needs Attention
CUST00008,2025-12-29,2,433.84,154.61,2,2024-10-19,West,Direct,438,1.6666666666666667,216.92,361.5333333333333,516.99,1,5,5,155,At Risk
CUST00009,2024-11-20,2,433.36,172.16,406,2024-03-25,Central,Email,646,1.130030959752322,216.68,244.8551083591331,350.14,5,5,5,555,Champions
CUST00010,2025-10-18,10,4998.44,2251.46,74,2024-02-09,North,Organic Search,691,5.282199710564399,499.84399999999994,2640.275832127351,3775.59,3,2,1,321,Needs Attention
CUST00011,2025-11-09,11,3631.98,1639.66,52,2024-08-09,East,Direct,509,7.888015717092339,330.18,2604.4650294695484,3724.38,3,2,2,322,Needs Attention
CUST00012,2025-12-12,9,3092.9300000000003,1119.51,19,2025-02-13,North,Paid Search,321,10.233644859813083,343.6588888888889,3516.8830218068533,5029.14,1,2,2,122,Lost Customers
CUST00013,2025-09-28,10,3486.75,1695.35,94,2024-11-05,West,Organic Search,421,8.669833729216151,348.675,3022.9542755344414,4322.82,3,2,2,322,Needs Attention
CUST00014,2025-11-03,1,32.76,10.5,58,2024-11-15,North,Paid Search,411,0.8880778588807786,32.76,29.093430656934306,41.6,3,5,5,355,Needs Attention
CUST00015,2025-01-28,5,1583.9499999999998,796.5699999999999,337,2024-10-28,Central,Direct,429,4.2540792540792545,316.78999999999996,1347.649766899767,1927.14,5,4,4,544,Champions
CUST00017,2024-07-22,3,1094.85,348.04,527,2024-08-03,Central,Direct,515,2.1262135922330097,364.95,775.9616504854368,1109.63,5,4,4,544,Champions
CUST00018,2025-05-06,2,784.95,343.52,239,2024-02-23,West,Direct,677,1.0782865583456425,392.475,423.2005169867061,605.18,5,5,5,555,Champions
CUST00019,2025-09-30,7,2575.51,1063.1299999999999,92,2024-12-18,East,Paid Search,378,6.7592592592592595,367.93,2486.9342592592593,3556.32,3,3,3,333,Needs Attention
CUST00020,2025-06-13,8,2856.3999999999996,1327.6799999999998,201,2024-07-08,West,Direct,541,5.397412199630314,357.04999999999995,1927.1460258780035,2755.82,4,3,3,433,Loyal Customers
CUST00021,2025-03-26,4,1474.14,720.3100000000001,280,2024-07-29,West,Email,520,2.807692307692308,368.535,1034.7328846153848,1479.67,5,4,4,544,Champions
CUST00022,2025-12-25,11,5283.87,2484.67,6,2024-06-04,Central,Referral,575,6.982608695652173,480.35181818181815,3354.108782608695,4796.38,1,2,1,121,Lost Customers
CUST00023,2025-07-16,4,1352.94,484.88000000000005,168,2024-03-17,South,Organic Search,654,2.232415902140673,338.235,755.0811926605505,1079.77,4,4,4,444,Champions
CUST00025,2025-09-07,13,3371.85,1259.25,115,2024-11-24,North,Paid Search,402,11.803482587064677,259.3730769230769,3061.505597014925,4377.95,4,1,2,412,Potential Loyalists
CUST00026,2025-12-26,11,3293.92,1664.0,5,2024-09-27,East,Organic Search,460,8.728260869565219,299.4472727272727,2613.6539130434785,3737.53,1,2,2,122,Lost Customers
CUST00027,2025-10-01,7,2695.24,1162.64,91,2024-06-18,North,Email,561,4.554367201426025,385.03428571428566,1753.5875222816398,2507.63,3,3,3,333,Needs Attention
CUST00028,2025-11-23,11,3797.1,1664.19,38,2024-12-11,East,Organic Search,385,10.428571428571429,345.1909090909091,3599.848051948052,5147.78,2,2,2,222,Lost Customers
CUST00029,2025-11-19,13,3438.38,1311.57,42,2024-08-17,East,Organic Search,501,9.471057884231536,264.4907692307692,2505.0073852295404,3582.16,2,1,2,212,Lost Customers
CUST00030,2025-12-10,2,511.55999999999995,170.5,21,2024-07-05,East,Referral,544,1.3419117647058822,255.77999999999997,343.2341911764705,490.82,2,5,5,255,At Risk
CUST00031,2025-11-24,17,4795.24,1911.34,37,2024-07-08,East,Email,541,11.469500924214417,282.0729411764706,3235.235859519408,4626.39,2,1,1,211,Lost Customers
CUST00032,2025-11-25,2,1305.76,664.5699999999999,36,2024-04-05,West,Direct,635,1.1496062992125984,652.88,750.5549606299212,1073.29,2,5,4,254,At Risk
CUST00033,2025-09-19,15,4891.93,2034.8799999999999,103,2024-02-08,West,Paid Search,692,7.911849710982659,326.1286666666667,2580.2809971098263,3689.8,4,1,1,411,Potential Loyalists
CUST00034,2024-05-28,1,167.13,82.33,582,2024-08-20,East,Referral,498,0.7329317269076305,167.13,122.49487951807228,175.17,5,5,5,555,Champions
CUST00035,2025-09-26,9,4685.99,1984.24,96,2025-01-07,East,Email,358,9.175977653631286,520.6655555555556,4777.615502793296,6831.99,3,2,1,321,Needs Attention
CUST00036,2025-10-13,10,3202.71,1354.89,79,2024-01-27,Central,Referral,704,5.184659090909091,320.271,1660.4959517045454,2374.51,3,2,2,322,Needs Attention
CUST00037,2025-10-22,18,6099.3,2467.0,70,2024-12-26,North,Social,370,17.756756756756754,338.85,6016.877027027027,8604.13,3,1,1,311,Needs Attention
CUST00038,2025-12-27,6,1837.87,711.01,4,2024-12-13,North,Social,383,5.718015665796345,306.31166666666667,1751.494908616188,2504.64,1,3,4,134,At Risk
CUST00039,2025-11-21,7,1730.81,689.44,40,2024-04-26,North,Direct,614,4.1612377850162865,247.25857142857143,1028.9017100977198,1471.33,2,3,4,234,At Risk
CUST00040,2025-04-28,2,494.4,151.8,247,2024-09-22,West,Paid Search,465,1.5698924731182795,247.2,388.0774193548387,554.95,5,5,5,555,Champions
CUST00041,2025-11-26,6,2461.11,975.86,35,2024-03-10,South,Organic Search,661,3.313161875945537,410.185,1359.00930408472,1943.38,2,3,3,233,At Risk
CUST00042,2025-08-31,7,3049.9,1534.71,122,2024-11-14,West,Referral,412,6.201456310679611,435.7,2701.9745145631064,3863.82,4,3,2,432,Loyal Customers
CUST00043,2025-11-10,4,1079.33,443.23,51,2024-10-21,West,Direct,436,3.3486238532110093,269.8325,903.5675458715596,1292.1,3,4,4,344,Needs Attention
CUST00044,2025-12-18,7,1911.33,800.5699999999999,13,2024-05-28,South,Organic Search,582,4.390034364261169,273.04714285714283,1198.6863402061856,1714.12,1,3,3,133,At Risk
CUST00045,2025-11-24,6,1456.52,541.61,37,2024-01-29,Central,Email,702,3.1196581196581197,242.75333333333333,757.3074074074074,1082.95,2,3,4,234,At Risk
CUST00046,2025-10-29,6,3047.93,1359.23,63,2025-02-11,West,Direct,323,6.780185758513932,507.9883333333333,3444.2552631578947,4925.29,3,3,2,332,Needs Attention
CUST00047,2025-08-13,12,3862.06,1747.5,140,2024-07-06,South,Direct,543,8.066298342541437,321.8383333333333,2596.044014732965,3712.34,4,2,2,422,Potential Loyalists
CUST00048,2025-12-06,11,3130.81,1280.78,25,2025-01-10,South,Direct,355,11.309859154929578,284.6190909090909,3219.0018309859156,4603.17,2,2,2,222,Lost Customers
CUST00049,2025-11-30,22,6275.2699999999995,2602.82,31,2024-10-11,South,Social,446,18.004484304932735,285.2395454545454,5135.59091928251,7343.9,2,1,1,211,Lost Customers
CUST00050,2025-06-02,2,1076.46,568.46,212,2024-11-22,North,Referral,404,1.8069306930693072,538.23,972.5443069306932,1390.74,5,5,4,554,Champions
CUST00051,2025-12-29,6,1007.5600000000001,431.76,2,2024-11-15,North,Paid Search,411,5.328467153284672,167.92666666666668,894.7917274939174,1279.55,1,3,4,134,At Risk
CUST00052,2025-08-06,7,2550.99,986.06,147,2024-03-22,Central,Direct,649,3.9368258859784286,364.4271428571428,1434.6862095531587,2051.6,4,3,3,433,Loyal Customers
CUST00053,2025-12-08,13,2654.85,1057.25,23,2024-06-01,South,Email,578,8.209342560553633,204.21923076923076,1676.50562283737,2397.4,2,1,3,213,Lost Customers
CUST00054,2024-12-06,5,1293.79,345.37,390,2024-07-15,South,Direct,534,3.417602996254682,258.758,884.3321161048689,1264.59,5,4,4,544,Champions
CUST00056,2025-09-25,11,3548.13,1449.26,97,2024-01-19,East,Social,712,5.639044943820225,322.55727272727273,1818.9149578651686,2601.05,3,2,2,322,Needs Attention
CUST00057,2025-12-02,15,5766.01,2395.94,29,2024-08-17,Central,Referral,501,10.92814371257485,384.40066666666667,4200.785728542914,6007.12,2,1,1,211,Lost Customers
CUST00058,2025-11-05,10,2721.5,1103.26,56,2024-03-05,West,Social,666,5.48048048048048,272.15,1491.5127627627626,2132.86,3,2,3,323,Needs Attention
CUST00059,2025-06-14,3,741.6,355.9,200,2024-11-08,East,Direct,418,2.619617224880383,247.20000000000002,647.5693779904308,926.02,4,4,5,445,Champions
CUST00061,2025-10-03,3,1370.92,389.43,89,2025-01-22,Central,Referral,343,3.192419825072886,456.97333333333336,1458.8507288629737,2086.16,3,4,4,344,Needs Attention
