order_date,units,revenue,month,ma_3_revenue,ma_6_revenue
2024-01,564,95673.25,2024-01,,
2024-02,392,61547.92,2024-02,,
2024-03,428,72733.74,2024-03,76651.63666666667,
2024-04,404,76847.81,2024-04,70376.49,
2024-05,446,73736.61,2024-05,74439.38666666666,
2024-06,497,90868.20999999999,2024-06,80484.21,78567.92333333332
2024-07,403,67770.23,2024-07,77458.34999999999,73917.42
2024-08,444,73789.71,2024-08,77476.05,75957.71833333334
2024-09,425,72415.52,2024-09,71325.15333333334,75904.68166666666
2024-10,446,78016.93,2024-10,74740.72,76099.535
2024-11,424,76424.96,2024-11,75619.13666666667,76547.59333333334
2024-12,443,79285.43,2024-12,77909.10666666667,74617.13
2025-01,468,78665.86,2025-01,78125.41666666667,76433.06833333334
2025-02,407,71000.43,2025-02,76317.23999999999,75968.18833333334
2025-03,468,83226.77,2025-03,77631.02,77770.06333333334
2025-04,463,77460.69,2025-04,77229.29666666668,77677.35666666667
2025-05,472,84958.2,2025-05,81881.88666666667,79099.56333333334
2025-06,416,70298.17,2025-06,77572.35333333333,77601.68666666666
2025-07,464,79270.70999999999,2025-07,78175.69333333334,77702.495
2025-08,410,69214.17,2025-08,72927.68333333333,77404.78499999999
2025-09,402,68522.47,2025-09,72335.78333333334,74954.06833333333
2025-10,377,65961.62,2025-10,67899.42,73037.55666666666
2025-11,470,81018.04,2025-11,71834.04333333333,72380.86333333333
2025-12,438,74955.45999999999,2025-12,73978.37333333334,73157.07833333332
