customer_id,signup_date,region,acquisition_channel
CUST00001,2024-02-07,West,Social
CUST00002,2024-11-21,West,Email
CUST00003,2024-10-01,East,Email
CUST00004,2024-07-03,West,Social
CUST00005,2024-06-30,South,Organic Search
CUST00006,2024-12-26,West,Direct
CUST00007,2024-02-06,North,Direct
CUST00008,2024-10-19,West,Direct
CUST00009,2024-03-25,Central,Email
CUST00010,2024-02-09,North,Organic Search
CUST00011,2024-08-09,East,Direct
CUST00012,2025-02-13,North,Paid Search
CUST00013,2024-11-05,West,Organic Search
CUST00014,2024-11-15,North,Paid Search
CUST00015,2024-10-28,Central,Direct
CUST00016,2024-11-26,North,Social
CUST00017,2024-08-03,Central,Direct
CUST00018,2024-02-23,West,Direct
CUST00019,2024-12-18,East,Paid Search
CUST00020,2024-07-08,West,Direct
CUST00021,2024-07-29,West,Email
CUST00022,2024-06-04,Central,Referral
CUST00023,2024-03-17,South,Organic Search
CUST00024,2025-01-24,East,Direct
CUST00025,2024-11-24,North,Paid Search
CUST00026,2024-09-27,East,Organic Search
CUST00027,2024-06-18,North,Email
CUST00028,2024-12-11,East,Organic Search
CUST00029,2024-08-17,East,Organic Search
CUST00030,2024-07-05,East,Referral
CUST00031,2024-07-08,East,Email
CUST00032,2024-04-05,West,Direct
CUST00033,2024-02-08,West,Paid Search
CUST00034,2024-08-20,East,Referral
CUST00035,2025-01-07,East,Email
CUST00036,2024-01-27,Central,Referral
CUST00037,2024-12-26,North,Social
CUST00038,2024-12-13,North,Social
CUST00039,2024-04-26,North,Direct
CUST00040,2024-09-22,West,Paid Search
CUST00041,2024-03-10,South,Organic Search
CUST00042,2024-11-14,West,Referral
CUST00043,2024-10-21,West,Direct
CUST00044,2024-05-28,South,Organic Search
CUST00045,2024-01-29,Central,Email
CUST00046,2025-02-11,West,Direct
CUST00047,2024-07-06,South,Direct
CUST00048,2025-01-10,South,Direct
CUST00049,2024-10-11,South,Social
CUST00050,2024-11-22,North,Referral
CUST00051,2024-11-15,North,Paid Search
CUST00052,2024-03-22,Central,Direct
CUST00053,2024-06-01,South,Email
