month,product_id,opening_stock,units_sold,closing_stock
2025-01-01,P0001,172,70,157
2025-02-01,P0001,205,64,214
2025-03-01,P0001,46,56,63
2025-04-01,P0001,143,54,153
2025-05-01,P0001,200,64,192
2025-06-01,P0001,201,77,141
2025-07-01,P0001,123,76,47
2025-08-01,P0001,219,71,190
2025-09-01,P0001,163,56,158
2025-10-01,P0001,130,81,124
2025-11-01,P0001,179,76,179
2025-12-01,P0001,119,74,117
2026-01-01,P0001,218,70,212
2026-02-01,P0001,111,72,98
2026-03-01,P0001,62,55,55
2026-04-01,P0001,54,75,5
2026-05-01,P0001,80,57,28
2026-06-01,P0001,184,70,165
2026-07-01,P0001,180,60,194
2026-08-01,P0001,194,69,146
2026-09-01,P0001,175,68,128
2026-10-01,P0001,101,77,77
2026-11-01,P0001,135,84,119
2026-12-01,P0001,97,91,76
2025-01-01,P0002,58,41,27
2025-02-01,P0002,187,50,184
2025-03-01,P0002,52,65,58
2025-04-01,P0002,89,50,105
2025-05-01,P0002,55,45,94
2025-06-01,P0002,116,55,100
2025-07-01,P0002,183,56,185
2025-08-01,P0002,207,59,170
2025-09-01,P0002,191,57,198
2025-10-01,P0002,94,91,51
2025-11-01,P0002,81,67,19
2025-12-01,P0002,74,64,41
2026-01-01,P0002,105,53,139
2026-02-01,P0002,62,60,74
2026-03-01,P0002,87,54,86
2026-04-01,P0002,57,48,9
2026-05-01,P0002,76,64,99
2026-06-01,P0002,148,52,128
2026-07-01,P0002,59,63,82
2026-08-01,P0002,69,49,83
2026-09-01,P0002,218,49,232
2026-10-01,P0002,174,78,169
2026-11-01,P0002,161,73,88
2026-12-01,P0002,72,74,15
2025-01-01,P0003,112,51,72
2025-02-01,P0003,64,47,95
2025-03-01,P0003,59,52,34
2025-04-01,P0003,204,51,213
2025-05-01,P0003,154,47,155
2025-06-01,P0003,162,54,143
2025-07-01,P0003,87,61,108
2025-08-01,P0003,93,40,57
2025-09-01,P0003,122,39,100
2025-10-01,P0003,74,55,91
2025-11-01,P0003,104,59,125
2025-12-01,P0003,170,60,173
2026-01-01,P0003,45,44,18
2026-02-01,P0003,123,47,103
2026-03-01,P0003,139,43,154
2026-04-01,P0003,212,38,210
2026-05-01,P0003,62,41,83
2026-06-01,P0003,178,46,135
2026-07-01,P0003,122,49,144
2026-08-01,P0003,157,50,166
2026-09-01,P0003,42,38,93
2026-10-01,P0003,58,54,91
2026-11-01,P0003,82,64,29
2026-12-01,P0003,181,63,195
2025-01-01,P0004,174,101,133
2025-02-01,P0004,127,87,42
2025-03-01,P0004,114,68,124
2025-04-01,P0004,211,80,155
2025-05-01,P0004,200,82,192
2025-06-01,P0004,193,92,118
2025-07-01,P0004,181,89,99
2025-08-01,P0004,126,79,53
2025-09-01,P0004,155,77,99
2025-10-01,P0004,101,132,25
2025-11-01,P0004,78,115,25
2025-12-01,P0004,136,120,56
2026-01-01,P0004,184,89,144
2026-02-01,P0004,137,84,98
2026-03-01,P0004,130,91,68
2026-04-01,P0004,69,80,0
2026-05-01,P0004,162,77,156
2026-06-01,P0004,94,86,41
2026-07-01,P0004,83,103,44
2026-08-01,P0004,160,80,102
2026-09-01,P0004,62,89,29
2026-10-01,P0004,194,122,140
2026-11-01,P0004,93,125,12
2026-12-01,P0004,62,90,0
2025-01-01,P0005,171,47,212
2025-02-01,P0005,205,48,199
2025-03-01,P0005,216,50,222
2025-04-01,P0005,211,40,191
2025-05-01,P0005,76,40,53
2025-06-01,P0005,94,54,116
2025-07-01,P0005,144,48,128
2025-08-01,P0005,209,45,175
2025-09-01,P0005,61,30,76
