order_id,customer_id,order_date,product_id,quantity,discount_pct,payment_method,category,unit_price,unit_cost,gross_sales,discount_amount,net_sales,cost,gross_profit
O0002980,CUST00314,2024-01-01,P0013,3,0.1,Wallet,Grocery,268.38,121.9,805.14,80.51,724.63,365.7,358.93
O0003682,CUST00174,2024-01-01,P0039,3,0.15,UPI,Electronics,302.32,141.08,906.96,136.04,770.92,423.24,347.68
O0002309,CUST00595,2024-01-01,P0004,3,0.0,UPI,Home,54.29,27.5,162.87,0.0,162.87,82.5,80.37
O0004601,CUST00573,2024-01-01,P0037,4,0.1,Card,Fashion,32.76,22.26,131.04,13.1,117.94,89.04,28.9
O0003636,CUST00250,2024-01-01,P0009,1,0.1,COD,Fashion,264.14,141.26,264.14,26.41,237.73,141.26,96.47
O0003575,CUST00205,2024-01-01,P0040,1,0.1,COD,Grocery,83.65,51.18,83.65,8.36,75.29,51.18,24.11
O0001923,CUST00567,2024-01-01,P0022,2,0.05,Wallet,Electronics,326.52,146.8,653.04,32.65,620.39,293.6,326.79
O0005086,CUST00549,2024-01-01,P0026,3,0.0,UPI,Electronics,133.04,87.51,399.12,0.0,399.12,262.53,136.59
O0003477,CUST00361,2024-01-01,P0037,3,0.15,Card,Fashion,32.76,22.26,98.28,14.74,83.54,66.78,16.76
O0001939,CUST00598,2024-01-01,P0017,3,0.0,Card,Home,110.28,84.44,330.84,0.0,330.84,253.32,77.52
O0003297,CUST00385,2024-01-01,P0033,1,0.0,Wallet,Fashion,112.86,61.51,112.86,0.0,112.86,61.51,51.35
O0003348,CUST00252,2024-01-01,P0007,3,0.15,Card,Grocery,177.14,118.71,531.42,79.71,451.71,356.13,95.58
O0005155,CUST00422,2024-01-02,P0038,2,0.0,Card,Fashion,157.39,70.68,314.78,0.0,314.78,141.36,173.42
O0001164,CUST00106,2024-01-02,P0033,3,0.1,UPI,Fashion,112.86,61.51,338.58,33.86,304.72,184.53,120.19
O0000414,CUST00531,2024-01-02,P0039,1,0.15,Card,Electronics,302.32,141.08,302.32,45.35,256.97,141.08,115.89
O0003569,CUST00075,2024-01-02,P0025,3,0.1,UPI,Fashion,234.0,111.05,702.0,70.2,631.8,333.15,298.65
O0004131,CUST00523,2024-01-02,P0014,1,0.0,Wallet,Electronics,66.45,51.75,66.45,0.0,66.45,51.75,14.7
O0002676,CUST00022,2024-01-02,P0031,1,0.1,Card,Electronics,287.51,147.51,287.51,28.75,258.76,147.51,111.25
O0004687,CUST00349,2024-01-03,P0004,1,0.0,Card,Home,54.29,27.5,54.29,0.0,54.29,27.5,26.79
O0003898,CUST00528,2024-01-03,P0005,2,0.0,UPI,Electronics,273.97,126.69,547.94,0.0,547.94,253.38,294.56
O0004683,CUST00494,2024-01-03,P0020,4,0.0,Card,Home,149.95,68.06,599.8,0.0,599.8,272.24,327.56
O0000233,CUST00078,2024-01-03,P0044,2,0.05,Card,Home,319.2,142.3,638.4,31.92,606.48,284.6,321.88
O0003057,CUST00180,2024-01-03,P0016,1,0.15,UPI,Fashion,101.27,44.23,101.27,15.19,86.08,44.23,41.85
O0003730,CUST00496,2024-01-03,P0019,4,0.1,COD,Electronics,148.06,96.56,592.24,59.22,533.02,386.24,146.78
O0000676,CUST00262,2024-01-03,P0005,4,0.0,Card,Electronics,273.97,126.69,1095.88,0.0,1095.88,506.76,589.12
O0000743,CUST00294,2024-01-03,P0026,4,0.0,Card,Electronics,133.04,87.51,532.16,0.0,532.16,350.04,182.12
O0001337,CUST00102,2024-01-03,P0010,1,0.0,Card,Grocery,158.28,88.17,158.28,0.0,158.28,88.17,70.11
O0004108,CUST00600,2024-01-03,P0001,2,0.1,UPI,Fashion,114.26,54.48,228.52,22.85,205.67,108.96,96.71
O0003672,CUST00165,2024-01-03,P0002,3,0.1,COD,Electronics,165.42,102.08,496.26,49.63,446.63,306.24,140.39
O0004641,CUST00438,2024-01-03,P0016,2,0.2,Card,Fashion,101.27,44.23,202.54,40.51,162.03,88.46,73.57
O0000037,CUST00396,2024-01-03,P0002,3,0.0,Card,Electronics,165.42,102.08,496.26,0.0,496.26,306.24,190.02
O0003148,CUST00399,2024-01-04,P0025,1,0.2,COD,Fashion,234.0,111.05,234.0,46.8,187.2,111.05,76.15
O0002882,CUST00535,2024-01-04,P0001,4,0.0,UPI,Fashion,114.26,54.48,457.04,0.0,457.04,217.92,239.12
O0001930,CUST00134,2024-01-04,P0021,4,0.0,Card,Beauty,264.24,127.61,1056.96,0.0,1056.96,510.44,546.52
O0001693,CUST00418,2024-01-04,P0018,1,0.1,Net Banking,Beauty,175.93,84.8,175.93,17.59,158.34,84.8,73.54
O0002715,CUST00395,2024-01-04,P0005,2,0.1,COD,Electronics,273.97,126.69,547.94,54.79,493.15,253.38,239.77
O0000512,CUST00406,2024-01-04,P0003,1,0.05,Card,Home,236.77,123.51,236.77,11.84,224.93,123.51,101.42
O0001149,CUST00377,2024-01-05,P0002,2,0.05,Net Banking,Electronics,165.42,102.08,330.84,16.54,314.3,204.16,110.14
O0001676,CUST00533,2024-01-05,P0022,1,0.0,COD,Electronics,326.52,146.8,326.52,0.0,326.52,146.8,179.72
O0004647,CUST00197,2024-01-05,P0037,1,0.1,Card,Fashion,32.76,22.26,32.76,3.28,29.48,22.26,7.22
O0002653,CUST00527,2024-01-05,P0028,4,0.05,Card,Electronics,164.95,128.88,659.8,32.99,626.81,515.52,111.29
O0000246,CUST00437,2024-01-05,P0020,1,0.1,UPI,Home,149.95,68.06,149.95,15.0,134.95,68.06,66.89
O0000873,CUST00482,2024-01-05,P0009,3,0.0,Net Banking,Fashion,264.14,141.26,792.42,0.0,792.42,423.78,368.64
O0003031,CUST00217,2024-01-05,P0029,3,0.15,UPI,Home,354.92,154.02,1064.76,159.71,905.05,462.06,442.99
O0002618,CUST00517,2024-01-05,P0010,2,0.0,Wallet,Grocery,158.28,88.17,316.56,0.0,316.56,176.34,140.22
O0004827,CUST00025,2024-01-05,P0033,4,0.1,UPI,Fashion,112.86,61.51,451.44,45.14,406.3,246.04,160.26
O0001727,CUST00575,2024-01-05,P0028,1,0.0,COD,Electronics,164.95,128.88,164.95,0.0,164.95,128.88,36.07
O0003914,CUST00338,2024-01-06,P0034,4,0.1,Net Banking,Electronics,186.26,105.01,745.04,74.5,670.54,420.04,250.5
O0000330,CUST00348,2024-01-06,P0014,2,0.0,Net Banking,Electronics,66.45,51.75,132.9,0.0,132.9,103.5,29.4
O0003528,CUST00318,2024-01-06,P0040,1,0.05,UPI,Grocery,83.65,51.18,83.65,4.18,79.47,51.18,28.29
O0002686,CUST00428,2024-01-06,P0039,2,0.2,UPI,Electronics,302.32,141.08,604.64,120.93,483.71,282.16,201.55
O0002625,CUST00401,2024-01-06,P0031,2,0.0,Card,Electronics,287.51,147.51,575.02,0.0,575.02,295.02,280.0
O0000108,CUST00158,2024-01-06,P0017,1,0.1,Net Banking,Home,110.28,84.44,110.28,11.03,99.25,84.44,14.81
O0001092,CUST00527,2024-01-06,P0039,1,0.1,UPI,Electronics,302.32,141.08,302.32,30.23,272.09,141.08,131.01
O0003540,CUST00492,2024-01-07,P0039,1,0.15,Net Banking,Electronics,302.32,141.08,302.32,45.35,256.97,141.08,115.89
O0000728,CUST00266,2024-01-07,P0028,3,0.0,UPI,Electronics,164.95,128.88,494.85,0.0,494.85,386.64,108.21
O0004545,CUST00568,2024-01-07,P0025,2,0.05,Card,Fashion,234.0,111.05,468.0,23.4,444.6,222.1,222.5
O0000131,CUST00025,2024-01-07,P0002,1,0.05,Net Banking,Electronics,165.42,102.08,165.42,8.27,157.15,102.08,55.07
O0004485,CUST00643,2024-01-07,P0028,3,0.0,COD,Electronics,164.95,128.88,494.85,0.0,494.85,386.64,108.21
O0003668,CUST00400,2024-01-07,P0033,4,0.2,UPI,Fashion,112.86,61.51,451.44,90.29,361.15,246.04,115.11
O0000405,CUST00527,2024-01-07,P0039,1,0.15,Card,Electronics,302.32,141.08,302.32,45.35,256.97,141.08,115.89
O0001256,CUST00551,2024-01-07,P0009,4,0.0,UPI,Fashion,264.14,141.26,1056.56,0.0,1056.56,565.04,491.52
O0003403,CUST00618,2024-01-07,P0038,2,0.0,UPI,Fashion,157.39,70.68,314.78,0.0,314.78,141.36,173.42
O0002918,CUST00627,2024-01-07,P0023,1,0.0,Card,Fashion,67.68,45.5,67.68,0.0,67.68,45.5,22.18
O0001571,CUST00408,2024-01-07,P0022,1,0.1,Card,Electronics,326.52,146.8,326.52,32.65,293.87,146.8,147.07
O0002385,CUST00261,2024-01-08,P0015,3,0.1,Card,Fashion,43.69,25.91,131.07,13.11,117.96,77.73,40.23
O0003032,CUST00028,2024-01-08,P0022,1,0.0,COD,Electronics,326.52,146.8,326.52,0.0,326.52,146.8,179.72
O0004935,CUST00201,2024-01-08,P0006,1,0.1,UPI,Beauty,192.36,150.65,192.36,19.24,173.12,150.65,22.47
O0002480,CUST00595,2024-01-08,P0020,3,0.15,Card,Home,149.95,68.06,449.85,67.48,382.37,204.18,178.19
O0001749,CUST00251,2024-01-08,P0015,1,0.05,UPI,Fashion,43.69,25.91,43.69,2.18,41.51,25.91,15.6
O0003121,CUST00426,2024-01-08,P0006,2,0.05,UPI,Beauty,192.36,150.65,384.72,19.24,365.48,301.3,64.18
O0000277,CUST00029,2024-01-08,P0007,1,0.05,COD,Grocery,177.14,118.71,177.14,8.86,168.28,118.71,49.57
O0003476,CUST00443,2024-01-08,P0007,1,0.1,UPI,Grocery,177.14,118.71,177.14,17.71,159.43,118.71,40.72
O0003178,CUST00207,2024-01-08,P0009,1,0.2,Wallet,Fashion,264.14,141.26,264.14,52.83,211.31,141.26,70.05
O0001667,CUST00292,2024-01-08,P0025,1,0.05,COD,Fashion,234.0,111.05,234.0,11.7,222.3,111.05,111.25
O0004657,CUST00463,2024-01-09,P0030,2,0.05,Net Banking,Grocery,239.09,117.72,478.18,23.91,454.27,235.44,218.83
O0004191,CUST00521,2024-01-09,P0034,3,0.0,UPI,Electronics,186.26,105.01,558.78,0.0,558.78,315.03,243.75
O0000523,CUST00293,2024-01-09,P0033,1,0.2,COD,Fashion,112.86,61.51,112.86,22.57,90.29,61.51,28.78
O0003210,CUST00209,2024-01-09,P0009,3,0.1,UPI,Fashion,264.14,141.26,792.42,79.24,713.18,423.78,289.4
O0000632,CUST00602,2024-01-09,P0008,4,0.1,Card,Fashion,152.63,75.07,610.52,61.05,549.47,300.28,249.19
O0000961,CUST00564,2024-01-09,P0027,1,0.0,Card,Electronics,55.13,36.66,55.13,0.0,55.13,36.66,18.47
O0002043,CUST00102,2024-01-09,P0018,2,0.0,COD,Beauty,175.93,84.8,351.86,0.0,351.86,169.6,182.26
O0001469,CUST00645,2024-01-09,P0041,2,0.0,Net Banking,Grocery,240.98,127.74,481.96,0.0,481.96,255.48,226.48
O0003500,CUST00298,2024-01-09,P0040,1,0.1,UPI,Grocery,83.65,51.18,83.65,8.36,75.29,51.18,24.11
O0001856,CUST00037,2024-01-10,P0013,2,0.0,Wallet,Grocery,268.38,121.9,536.76,0.0,536.76,243.8,292.96
O0000545,CUST00357,2024-01-10,P0042,1,0.1,UPI,Fashion,92.99,66.18,92.99,9.3,83.69,66.18,17.51
