product_id,category,unit_cost,unit_price,reorder_point,lead_time_days
P0001,Fashion,54.48,114.26,68,6
P0002,Electronics,102.08,165.42,36,8
P0003,Home,123.51,236.77,68,4
P0004,Home,27.5,54.29,25,12
P0005,Electronics,126.69,273.97,33,5
P0006,Beauty,150.65,192.36,28,12
P0007,Grocery,118.71,177.14,23,13
P0008,Fashion,75.07,152.63,20,11
P0009,Fashion,141.26,264.14,27,6
P0010,Grocery,88.17,158.28,22,14
P0011,Electronics,121.21,158.87,39,11
P0012,Electronics,132.72,216.75,19,10
P0013,Grocery,121.9,268.38,18,13
P0014,Electronics,51.75,66.45,79,13
P0015,Fashion,25.91,43.69,20,3
P0016,Fashion,44.23,101.27,19,13
P0017,Home,84.44,110.28,16,12
P0018,Beauty,84.8,175.93,23,5
P0019,Electronics,96.56,148.06,49,6
P0020,Home,68.06,149.95,68,12
P0021,Beauty,127.61,264.24,62,5
P0022,Electronics,146.8,326.52,52,8
P0023,Fashion,45.5,67.68,20,11
P0024,Grocery,119.95,220.04,65,10
P0025,Fashion,111.05,234.0,17,13
P0026,Electronics,87.51,133.04,56,4
P0027,Electronics,36.66,55.13,41,6
P0028,Electronics,128.88,164.95,72,14
P0029,Home,154.02,354.92,34,9
P0030,Grocery,117.72,239.09,56,5
P0031,Electronics,147.51,287.51,43,6
P0032,Electronics,157.6,325.98,48,7
P0033,Fashion,61.51,112.86,76,9
P0034,Electronics,105.01,186.26,61,6
P0035,Home,80.04,139.63,41,10
P0036,Home,157.97,308.75,44,8
P0037,Fashion,22.26,32.76,60,10
P0038,Fashion,70.68,157.39,37,4
P0039,Electronics,141.08,302.32,25,10
P0040,Grocery,51.18,83.65,45,14
P0041,Grocery,127.74,240.98,19,4
P0042,Fashion,66.18,92.99,26,6
P0043,Electronics,156.96,364.08,42,11
P0044,Home,142.3,319.2,66,10
P0045,Grocery,53.8,121.81,65,11
